activiteitnaam,bewindspersoon,datum,locatie,subtitel,type,url
Gesprek met voorzitters raad van toezicht van Het Nationale Theater en Holland Festival,Gunay Uslu,2022-04-14,Amsterdam,Het gesprek gaat over het beeld van de toezichthouders bij een consistent langetermijnbeleid op het gebied van cultuur. ,Gesprek,/actueel/agenda/2022/04/14/gesprek-met-voorzitters-raad-van-toezicht-van-het-nationale-theater-en-holland-festival
Bewindsliedenoverleg evenwichtige verdeling sociale woningbouw,Micky Adriaansens,2022-04-14,Den Haag,,Gesprek,/actueel/agenda/2022/04/14/bewindsliedenoverleg-evenwichtige-verdeling-sociale-woningbouw
Overleg BAC ROWW,Hugo de Jonge,2022-04-14,Utrecht,"Minister De Jonge heeft een overleg met de Bestuurlijke adviescommissie Ruimtelijke Ontwikkeling, Water en Wonen (BAC ROWW) over ...",Gesprek,/actueel/agenda/2022/04/14/overleg-bac-roww
Commissiedebat Noodhulp,Liesje Schreinemacher,2022-04-14,Den Haag,Minister Schreinemacher neemt in de Tweede Kamer deel aan het commissiedebat over de Nederlandse inzet op het gebied van noodhulp.,Kamervergadering,/actueel/agenda/2022/04/14/commissiedebat-noodhulp
Uitgaand werkbezoek Washington D.C.,Wopke Hoekstra,2022-04-14,Washington D.C. (Verenigde Staten van Amerika),"Minister Hoekstra brengt een werkbezoek aan Washington D.C., om daar te spreken met zijn Amerikaanse ambtsgenoot Antony Blinken. ...",Werkbezoek,/actueel/agenda/2022/04/14/uitgaand-werkbezoek-washington-dc
Bewindspersonenoverleg 'voor iedereen een thuis',Rob Jetten,2022-04-14,Den Haag,"Overleg van de minister van Infrastructuur en Waterstaat, de minister van Economische Zaken en Klimaat, de minister voor Klimaat ...",Gesprek,/actueel/agenda/2022/04/14/bewindspersonenoverleg-voor-iedereen-een-thuis
Bestuurlijk overleg NOVB,Vivianne Heijnen,2022-04-14,via communicatietechnologie,Staatssecretaris Heijnen is bij het standaardoverleg Nationaal Openbaar Vervoer Beraad (NOVB).,Gesprek,/actueel/agenda/2022/04/14/bestuurlijk-overleg-novb
Tweeminutendebat Leefstijlpreventie,Maarten van Ooijen,2022-04-14,Den Haag,,Kamervergadering,/actueel/agenda/2022/04/14/tweeminutendebat-leefstijlpreventie
Ministerraad,"Mark Rutte, Sigrid Kaag, Carola Schouten, Hanke Bruins Slot, Robbert Dijkgraaf, Kajsa Ollongren, Mark Harbers, Micky Adriaansens, Karien van Gennip, Ernst Kuipers, Liesje Schreinemacher, Franc Weerwind, Hugo de Jonge, Rob Jetten, Christianne van der Wal-Zeggelink, Conny Helder, Eric van der Burg, Marnix van Rij, Aukje de Vries, Vivianne Heijnen",2022-04-14,Den Haag,Minister-president Rutte heeft na de ministerraad een persconferentie gegeven. Over de oorlog in Oekraïne en het Nationaal ...,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2022/04/14/ministerraad
Bewindspersonenoverleg scenario's Oekraïne/Rusland,"Sigrid Kaag, Carola Schouten, Micky Adriaansens, Karien van Gennip, Rob Jetten, Marnix van Rij",2022-04-14,Den Haag,"Overleg van de minister van Economische Zaken en Klimaat, de minister voor Klimaat en Energie, de minister van Financiën, de ...",Gesprek,/actueel/agenda/2022/04/14/bewindspersonenoverleg-scenarios-oekraine-rusland
Tweeminutendebatten minister Wiersma,,2022-04-14,Den Haag,Minister Wiersma debatteert in tweeminutendebatten over: sociale veiligheid op school passend onderwijs meer ruimte voor nieuwe ...,NA,/actueel/agenda/2022/04/14/tweeminutendebatten-minister-wiersma
Commissiedebat governance Caribisch Nederland,Alexandra van Huffelen,2022-04-14,Den Haag,,Kamervergadering,/actueel/agenda/2022/04/14/commissiedebat-governance-caribisch-nederland
Kennismaking Hare Majesteit de Koningin,Robbert Dijkgraaf,2022-04-14,Den Haag,Minister Dijkgraaf maakt kennis met Hare Majesteit de Koningin.,Gesprek,/actueel/agenda/2022/04/14/kennismaking-hare-majesteit-de-koningin
Werkbezoek stichting Aap,,2022-04-14,Almere,,NA,/actueel/agenda/2022/04/14/werkbezoek-stichting-aap
Coalitieoverleg Financiële Besluitvorming met vice-MP’s,"Mark Rutte, Sigrid Kaag, Carola Schouten, Marnix van Rij",2022-04-14,Den Haag,,Bestuurlijk overleg,/actueel/agenda/2022/04/14/coalitieoverleg-financiele-besluitvorming-met-vice-mps-kopie
Werkbezoek aan het Minkema Collega in het kader van praktijkexamens,,2022-04-14,Woerden,Minister Wiersma brengt een werkbezoek aan het Minkema Collega in het kader van de praktijkexamens.,NA,/actueel/agenda/2022/04/14/werkbezoek-aan-het-minkema-collega
Debat wetsvoorstel maatschappelijk verantwoord inkopen jeugdwet en WMO 2015,Maarten van Ooijen,2022-04-14,Den Haag,,Kamervergadering,/actueel/agenda/2022/04/14/debat-wetsvoorstel-maatschappelijk-verantwoord-inkopen-jeugdwet-en-wmo-2015
Commissiedebat Vreemdelingen- en asielbeleid,Eric van der Burg,2022-04-14,Den Haag,Staatssecretaris Van der Burg gaat in debat met de Tweede Kamer.,Kamervergadering,/actueel/agenda/2022/04/14/commissiedebat-vreemdelingen--en-asielbeleid
2-minutendebat Integriteit openbaar bestuur en Plenair debat wet bevorderen Integriteit en functioneren openbaar bestuur,Hanke Bruins Slot,2022-04-14,Den Haag,,Kamervergadering,/actueel/agenda/2022/04/14/debat-integriteit-openbaar-bestuur
Wijziging van de Wet basisregistratie personen,Alexandra van Huffelen,2022-04-14,Den Haag,,Kamervergadering,/actueel/agenda/2022/04/14/wijziging-van-de-wet-basisregistratie-personen
"Overleg met de Minister-President van Curaçao, de Minister-President van Sint Maarten en de Minister-President van Aruba",Alexandra van Huffelen,2022-04-14,Via communicatietechnologie,"Staatssecretaris Van Huffelen heeft overleg met de Minister-President van Curaçao, de heer Pisas, de Minister-President van Sint ...",Gesprek,/actueel/agenda/2022/04/14/overleg-mp-curacao-mp-sint-maarten-en-m-p-aruba
Werkbezoek Ter Apel,Eric van der Burg,2022-04-15,Ter Apel,Staatssecretaris Van der Burg brengt een werkbezoek aan het aanmeldcentrum voor asielzoekers in Ter Apel en gaat in gesprek met ...,Werkbezoek,/actueel/agenda/2022/04/15/werkbezoek-ter-apel
Ontvangst boek tijdens Invictus Games,Christophe van der Maat,2022-04-15,Den Haag,Staatssecretaris Van der Maat neemt voorafgaand aan de Invictus Games het boek van Stefan de Vries in ontvangst.,Evenement,/actueel/agenda/2022/04/15/ontvangst-boek-tijdens-invictus-games
Opening Kunstmuseum M. tijdens Floriade Expo 2022,Gunay Uslu,2022-04-15,Almere,,Werkbezoek,/actueel/agenda/2022/04/15/opening-kunstmuseum-m.-tijdens-floriade-expo-2022
Welkomstreceptie Invictus Games,Christophe van der Maat,2022-04-15,Den Haag,Staatssecretaris Van der Maat is aanwezig bij de welkomstreceptie van de Invictus Games.,Evenement,/actueel/agenda/2022/04/15/welkomstreceptie-invictus-games
Matthäus-Passion Naarden,"Hanke Bruins Slot, Robbert Dijkgraaf, Alexandra van Huffelen, Gunay Uslu",2022-04-15,Naarden,"Minister Dijkgraaf, staatssecretarissen Van Huffelen en Uslu en minister Bruins Slot zijn bij de uitvoering van de ...",Evenement,/actueel/agenda/2022/04/15/matthaus-passion-naarden
Matthäus Passion Den Haag,Carola Schouten,2022-04-15,Den Haag,,Evenement,/actueel/agenda/2022/04/15/matthaus-passion-den-haag
Matthäus Passion Leiden,Mark Rutte,2022-04-15,Leiden,Media kunnen voor meer informatie contact opnemen via  rvd.openbareagenda.mp@minaz.nl.,Evenement,/actueel/agenda/2022/04/15/matthaus-passion-leiden
Matthäus Passion,"Sigrid Kaag, Hugo de Jonge, Marnix van Rij",2022-04-15,Delft,,Evenement,/actueel/agenda/2022/04/15/matthaus-passion
Opening Invictus Games,Mark Rutte,2022-04-16,Den Haag,Minister-president Rutte houdt een toespraak bij de opening van de Invictus Games. De Invictus Games is een internationaal ...,Evenement,/actueel/agenda/2022/04/16/invictus-games
Werkbezoek Nationale Opera en Ballet,Gunay Uslu,2022-04-16,Amsterdam,,Werkbezoek,/actueel/agenda/2022/04/16/werkbezoek-nationale-opera-en-ballet
Kennismaking NOC NSF,Conny Helder,2022-04-17,Via communicatietechnologie,Minister Helder maakt kennis met voorzitter  mevrouw Anneke van Zanen en algemeen directeur Marc van den Tweel van NOC*NSF.,Gesprek,/actueel/agenda/2022/04/17/kennismaking-noc-nsf
Kennismaking met Lockheed Martin Aero,Christophe van der Maat,2022-04-19,Den Haag,"Staatssecretaris Van der Maat maakt kennis met Greg Ulmer (Executive Vice President Lockheed Martin Aero), Tim Cahill (Lockheed ...",Gesprek,/actueel/agenda/2022/04/19/kennismaking-met-lockheed-martin-aero
Bewindspersonenstaf,Karien van Gennip,2022-04-19,Den Haag,,Gesprek,/actueel/agenda/2022/04/19/bewindspersonenstaf
Belgisch–Nederlands regeringsoverleg,"Mark Rutte, Wopke Hoekstra, Dilan Yeşilgöz-Zegerius, Hanke Bruins Slot, Robbert Dijkgraaf, Kajsa Ollongren, Mark Harbers, Micky Adriaansens, Rob Jetten, Eric van der Burg, Alexandra van Huffelen, Marnix van Rij, Vivianne Heijnen",2022-04-19,"Gent, België",Op 19 april 2022 komen in Gent afvaardigingen van de Nederlandse en Belgische regeringen bijeen voor het zogenoemde ...,Internationale bijeenkomst,/actueel/agenda/2022/04/19/thalassa-overleg
Gesprek over Hervormingsagenda Jeugdzorg,"Marnix van Rij, Maarten van Ooijen",2022-04-19,Via communicatietechnologie,Gesprek tussen staatssecretaris Van Rij (Fiscaliteit en Belastingdienst) en staatssecretaris Van Ooijen (VWS) ...,Gesprek,/actueel/agenda/2022/04/19/gesprek-hervormingsagenda-jeugdzorg
Bestuurlijk overleg over masterplan basisvaardigheden met bestuurlijke partners,,2022-04-19,Via communicatietechnologie,"Minister Wiersma heeft een bestuurlijk overleg over het masterplan basisvaardigheden met vertegenwoordigers van de PO-Raad, ...",NA,/actueel/agenda/2022/04/19/bestuurlijk-overleg-masterplan-basisvaardigheden
Kennismakingsgesprek met Tweede Kamerlid De Roon,Christophe van der Maat,2022-04-19,Den Haag,"Staatssecretaris Van der Maat heeft een kennismakingsgesprek met de voorzitter van de Vaste Kamercommissie Defensie, Tweede ...",Gesprek,/actueel/agenda/2022/04/19/kennismakingsgesprek-met-tweede-kamerlid-de-roon
Bestuurlijk overleg over Oekraïne met bestuurlijke partners,,2022-04-19,Via communicatietechnologie,"Minister Wiersma heeft een bestuurlijk overleg over Oekraïne met de Inspecteur-Generaal IvhO, voorzitter PO-Raad, voorzitter ...",NA,/actueel/agenda/2022/04/19/bestuurlijk-overleg-over-oekraine
Bewindspersonenoverleg PGB 2.0,Carola Schouten,2022-04-19,Den Haag,Minister Schouten spreekt met minister Helder over PGB 2.0.,Gesprek,/actueel/agenda/2022/04/19/bwo-pgb-2-0
Commissiedebat Corona,Ernst Kuipers,2022-04-19,Den Haag,,Kamervergadering,/actueel/agenda/2022/04/19/commissiedebat-corona
Ministeriële Commissie COVID-19,"Carola Schouten, Robbert Dijkgraaf, Micky Adriaansens, Karien van Gennip, Ernst Kuipers, Christianne van der Wal-Zeggelink, Conny Helder, Eric van der Burg, Alexandra van Huffelen, Marnix van Rij, Maarten van Ooijen",2022-04-19,Den Haag,,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2022/04/19/ministeriele-commissie-covid-19
Werkbezoek Kinderopvangtoeslag,Aukje de Vries,2022-04-19,Utrecht,,Werkbezoek,/actueel/agenda/2022/04/19/werkbezoek-kinderopvangtoeslag
Mondeling overleg in Eerste Kamer commissie Korel,Alexandra van Huffelen,2022-04-19,Eerste Kamer,,Kamervergadering,/actueel/agenda/2022/04/19/mondeling-overleg-in-eerste-kamer-commissie-korel
Tweeminutendebat Klimaatakkoord gebouwde omgeving,Hugo de Jonge,2022-04-19,Den Haag,,Kamervergadering,/actueel/agenda/2022/04/19/tweeminutendebat-klimaatakkoord-gebouwde-omgeving
Plenaire behandeling initiatiefvoorstel rijksvaccinatieprogramma en kindercentra,"Karien van Gennip, Maarten van Ooijen",2022-04-19,Den Haag,Minister Van Gennip (SZW) en staatssecretaris Van Ooijen (VWS) nemen deel aan de plenaire behandeling in de Eerste Kamer van het ...,Kamervergadering,/actueel/agenda/2022/04/19/bespreken-initiatiefvoorstel-rijksvaccinatieprogramma-kindercentra
Tweeminutendebat Hoofdlijnen LNV,Christianne van der Wal-Zeggelink,2022-04-19,Tweede Kamer,,Kamervergadering,/actueel/agenda/2022/04/19/tweeminutendebat-hoofdlijnen-lnv
Overleg met Tweede Kamerleden Maatoug en Nijboer,Carola Schouten,2022-04-19,Den Haag,Minister Schouten neemt deel aan een overleg met Tweede Kamerleden mevrouw Maatoug en de heer Nijboer.,Gesprek,/actueel/agenda/2022/04/19/overleg-met-tweede-kamerleden-maatoug-en-nijboer
Voorjaarsvergadering International Monetary and Financial Committee (IMFC),Sigrid Kaag,2022-04-19,Washington,,Internationale bijeenkomst,/actueel/agenda/2022/04/19/voorjaarsvergadering-international-monetary-and-financial-committee
"Tweeminutendebat Landbouw, klimaat en voedsel",,2022-04-19,Tweede Kamer,,NA,/actueel/agenda/2022/04/19/tweeminutendebat-landbouw-klimaat-en-voedsel
Bewindsliedenoverleg over Beleidsprogramma klimaat,Rob Jetten,2022-04-19,Via communicatietechnologie,"Met de minister van Landbouw, natuur en Voedselkwaliteit, en minister voor Natuur en Stikstof.",Gesprek,/actueel/agenda/2022/04/19/bewindspersonenoverleg-over-beleidsprogramma-klimaat
Onderraden en ministeriële overleggen,"Mark Rutte, Wopke Hoekstra, Carola Schouten, Dilan Yeşilgöz-Zegerius, Hanke Bruins Slot, Robbert Dijkgraaf, Kajsa Ollongren, Mark Harbers, Micky Adriaansens, Karien van Gennip, Ernst Kuipers, Hugo de Jonge, Rob Jetten, Christianne van der Wal-Zeggelink, Gunay Uslu, Marnix van Rij, Christophe van der Maat, Vivianne Heijnen",2022-04-19,Den Haag,,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2022/04/19/onderraden-en-ministeriele-overleggen
Gesprek met de minister van Defensie van Oekraïne,Kajsa Ollongren,2022-04-19,Via communicatietechnologie,,Gesprek,/actueel/agenda/2022/04/19/gesprek-met-minister-van-defensie-oekraine
Stemmingen Eerste Kamer,Karien van Gennip,2022-04-19,Den Haag,Minister Van Gennip is aanwezig bij de stemmingen in de Eerste Kamer.,Kamervergadering,/actueel/agenda/2022/04/19/stemmingen-eerste-kamer
Gesprek met president Zelensky,Mark Rutte,2022-04-19,Via communicatietechnologie,Gesprek met de Oekraïense president over de laatste ontwikkelingen in Oekraïne.,Gesprek,/actueel/agenda/2022/04/19/gesprek-met-president-zelensky
Tweeminutendebat Landbouw- en Visserijraad,,2022-04-19,Tweede Kamer,,NA,/actueel/agenda/2022/04/19/tweeminutendebat-landbouw--en-visserijraad
Regulier overleg met Aedes en Woonbond,Hugo de Jonge,2022-04-19,via communicatietechnologie,,Gesprek,/actueel/agenda/2022/04/19/regulier-overleg-met-aedes-en-woonbond
Tweeminutendebat armoede en schulden,Carola Schouten,2022-04-19,Den Haag,,Kamervergadering,/actueel/agenda/2022/04/19/tweeminutendebat-armoede-en-schulden
Vragenuur,Carola Schouten,2022-04-19,Den Haag,Minister Schouten is aanwezig bij het mondelinge vragenuur in de Tweede Kamer.,Kamervergadering,/actueel/agenda/2022/04/19/vragenuur
Gesprek met Belgische ministers,Rob Jetten,2022-04-19,"Gent, België",Minister Jetten heeft een gesprek met: de Belgische minister van Energie over Belgisch-Nederlandse samenwerking op het gebied van ...,Gesprek,/actueel/agenda/2022/04/19/gesprek-met-belgische-ministers
Tweeminutendebat pensioenonderwerpen,Carola Schouten,2022-04-19,Den Haag,,Kamervergadering,/actueel/agenda/2022/04/19/tweeminutendebat-pensioenonderwerpen
Gesprek met Azerbeidjaanse minister van Buitenlandse Zaken,Wopke Hoekstra,2022-04-19,Den Haag,Minister Hoekstra spreekt digitaal met zijn Azerbeidjaanse collega minister Jeyhun Bayramov over de bilaterale relatie en actuele ...,Gesprek,/actueel/agenda/2022/04/19/gesprek-met-azerbeidjaanse-minister-van-buitenlandse-zaken
Kennismakingsgesprekken minister Bruins Slot,Hanke Bruins Slot,2022-04-19,Gent,Minister Bruins Slot heeft kennismakingsgesprekken met EC Reynders en met EC-voorzitter Jourová.,Gesprek,/actueel/agenda/2022/04/19/gesprekken
Overleg tussen de minister-president en de vice-MP’s,Mark Rutte,2022-04-19,Den Haag,,Bestuurlijk overleg,/actueel/agenda/2022/04/19/overleg-tussen-de-minister-president-en-de-vice-mps
Algemene ledenvergadering MBO Raad,Robbert Dijkgraaf,2022-04-20,Zeist,Minister Dijkgraaf is bij de Algemene ledenvergadering van de MBO Raad en beantwoordt daar vragen van leden. ,Evenement,/actueel/agenda/2022/04/20/algemene-ledenvergadering-mbo-raad
Werkbezoek Kinderopvangtoeslag,Aukje de Vries,2022-04-20,Arnhem,,Gesprek,/actueel/agenda/2022/04/20/oudergesprekken
Invictus Games,"Kajsa Ollongren, Christophe van der Maat",2022-04-20,Den Haag,Staatssecretaris Van der Maat bezoekt samen met de voorzitters van de defensievakbonden de halve finale van het rolstoelrugby.,Evenement,/actueel/agenda/2022/04/20/invictus-games
Coalitieoverleg Transitie fonds en gebiedsdoelen,Christianne van der Wal-Zeggelink,2022-04-20,Den Haag,,Gesprek,/actueel/agenda/2022/04/20/coalitieoverleg-transitie-fonds-en-gebiedsdoelen
Gesprek met minister-president van Aruba,Alexandra van Huffelen,2022-04-20,via communicatietechnologie,Staatssecretaris Van Huffelen heeft een gesprek met minister-predsident Wever-Croes van Aruba over het proces rondom het voorstel ...,Gesprek,/actueel/agenda/2022/04/20/gesprek-met-minister-president-van-aruba
Commissiedebat Klimaat en Energie,Rob Jetten,2022-04-20,Den Haag,,Kamervergadering,/actueel/agenda/2022/04/20/commissiedebat-klimaat-en-energie
Commissiedebat over gesubsidieerde rechtsbijstand,Franc Weerwind,2022-04-20,Den Haag,Minister Weerwind gaat in debat met de Tweede Kamer over gesubsidieerde bijstand.,Kamervergadering,/actueel/agenda/2022/04/20/commissiedebat-over-gesubsidieerde-rechtsbijstand
Rondetafelgesprek met burgemeesters,Eric van der Burg,2022-04-20,Putten,Staatssecretaris Van der Burg is aanwezig bij de door het COA georganiseerde rondetafelsessie met burgemeesters met een COA ...,Gesprek,/actueel/agenda/2022/04/20/rondetafelgesprek-met-burgemeesters
Tweeminutendebat Waterstof,Rob Jetten,2022-04-20,Den Haag,,Gesprek,/actueel/agenda/2022/04/20/tweeminutendebat-waterstof
Gesprek met UN Special Rapporteur on human rights defenders,Eric van der Burg,2022-04-20,Amsterdam,Staatssecretaris Van der Burg gaat in gesprek met de UN Special Rapporteur on human rights defenders.,Gesprek,/actueel/agenda/2022/04/20/gesprek-met-un-special-rapporteur-on-human-rights-defenders
Werkbezoek aan CBR (Centraal Bureau Rijvaardigheidsbewijzen),Mark Harbers,2022-04-20,Rijswijk ZH,,Werkbezoek,/actueel/agenda/2022/04/20/werkbezoek-aan-cbr
Plenair debat verhoging van het wettelijk strafmaximum van doodslag,Dilan Yeşilgöz-Zegerius,2022-04-20,Den Haag,Minister Yeşilgöz-Zegerius gaat in debat met de Tweede Kamer over de verhoging van de maximumstraf van doodslag,Kamervergadering,/actueel/agenda/2022/04/20/plenair-debat-over-wettelijk-strafmaximum-van-doodslag
Workshopdag Schuldhulpmaatje,Carola Schouten,2022-04-20,Houten,Minister Schouten spreekt bij de Workshopdag Schuldhulpmaatje.,Werkbezoek,/actueel/agenda/2022/04/20/workshopdag-schuldhulpmaatje
Gesprek met Europees Parlementslid,Hanke Bruins Slot,2022-04-20,Gent,Minister Bruins Slot heeft een gesprek met MEP Groothuis over diverse onderwerpen in het Europees Parlement die BZK raken.,Gesprek,/actueel/agenda/2022/04/20/gesprek-met-europees-parlementslid
Spoorcongres,Vivianne Heijnen,2022-04-20,Rotterdam,,Evenement,/actueel/agenda/2022/04/20/spoorcongres
Werkbezoek Medische Opvang van Ongedocumenteerden,Eric van der Burg,2022-04-20,Amsterdam,Staatssecretaris Van der Burg brengt een werkbezoek aan het MOO (Medische Opvang van Ongedocumenteerden).,Werkbezoek,/actueel/agenda/2022/04/20/werkbezoek-medische-opvang-van-ongedocumenteerden
Tweeminutendebat Toezicht en Handhaving,Vivianne Heijnen,2022-04-20,Tweede Kamer,,Kamervergadering,/actueel/agenda/2022/04/20/tweeminutendebat-toezicht-en-handhaving
Bijeenkomst Stuurgroep VisWad,,2022-04-20,Den Haag,,NA,/actueel/agenda/2022/04/20/bijeenkomst-stuurgroep-viswad
Webinar Transitie Coalitie Voedsel,Christianne van der Wal-Zeggelink,2022-04-20,Via communicatietechnologie,,Evenement,/actueel/agenda/2022/04/20/webinar-transitie-coalitie-voedsel
Gesprek met minister-president van Sint Maarten,Alexandra van Huffelen,2022-04-20,via communicatietechnologie,Staatssecretaris Van Huffelen spreekt minister-president Jacobs van Sint Maarten over het proces rondom het voorstel van Rijkswet ...,Gesprek,/actueel/agenda/2022/04/20/gesprek-met-minister-president-van-sint-maarten
Debat over wijziging van de wet educatie en beroepsonderwijs BES,Robbert Dijkgraaf,2022-04-20,Tweede Kamer,Minister Dijkgraaf neemt deel aan het debat in de Tweede Kamer over de wijziging van de wet educatie en beroepsonderwijs BES in ...,Kamervergadering,/actueel/agenda/2022/04/20/debat-over-wijziging-van-de-wet-educatie-en-beroepsonderwijs-bes
Coalitieoverleg Tweede Kamer over herziening Participatiewet,Carola Schouten,2022-04-20,Tweede Kamer,,Bestuurlijk overleg,/actueel/agenda/2022/04/20/coalitieoverleg-tweede-kamer-over-herziening-participatiewet
Tweeminutendebat Leefomgeving,Vivianne Heijnen,2022-04-20,Tweede Kamer,,Kamervergadering,/actueel/agenda/2022/04/20/tweeminutendebat-leefomgeving
Utrecht Conferentie Nederland-Polen,Wopke Hoekstra,2022-04-20,Wassenaar,"Minister Hoekstra opent de Utrecht Conferentie, een jaarlijkse conferentie over samenwerking tussen Nederland en Polen. ",Internationale bijeenkomst,/actueel/agenda/2022/04/20/utrecht-conferentie-nederland-polen
Overhandiging rapport over schulden en bestaanszekerheid,Carola Schouten,2022-04-20,Den Haag,Minister Schouten ontvangt het rapport van de Raad voor Volksgezondheid en Samenleving over schulden en bestaanszekerheid.,Evenement,/actueel/agenda/2022/04/20/overhandiging-rapport-over-schulden-en-bestaanszekerheid
Kennismaking met de directeur van Vereniging Innovatieve Geneesmiddelen,Ernst Kuipers,2022-04-20,Den Haag,Minister Kuipers maakt kennis met de directeur van Vereniging Innovatieve Geneesmiddelen.,Gesprek,/actueel/agenda/2022/04/20/kennismaking-vig
Bewindspersonenoverleg over constitutionele toetsing en staatscommissie,Hanke Bruins Slot,2022-04-20,via communicatietechnologie,Minister Bruins Slot spreekt de minister voor Rechtsbescherming over de constitutionele toetsing en de staatscommissie,Gesprek,/actueel/agenda/2022/04/20/bewindspersonenoverleg-over-constitutionele-toetsing-en-staatscommissie
Gesprek met Tweede Kamerlid PvdA,Alexandra van Huffelen,2022-04-20,Den Haag,Staatssecretaris Van Huffelen heeft een kennismakingsgesprek met Tweede Kamerlid Kathman (PvdA).,Gesprek,/actueel/agenda/2022/04/20/gesprek-met-tweede-kamerlid-pvda
Gesprek met Raad van State,Hanke Bruins Slot,2022-04-20,Den Haag,Minister Bruins Slot heeft een gesprek met de Raad van State en de minister voor Rechtsbescherming over constitutionele toetsing ...,Gesprek,/actueel/agenda/2022/04/20/gesprek-met-raad-van-state
Opening OnePlanet bij Museon- Omniversum,Rob Jetten,2022-04-20,Den Haag,,Evenement,/actueel/agenda/2022/04/20/opening-oneplanet
Uitreiking Joke Smitprijs,Robbert Dijkgraaf,2022-04-20,Hilversum,"Minister Dijkgraaf reikt de Jokesmitprijs uit, de regeringsprijs voor een persoon, groep of instantie die een fundamentele ...",Evenement,/actueel/agenda/2022/04/20/uitreiking-joke-smitprijs
Werkbezoek Dienstencentrum Personeel en Logistiek,Christophe van der Maat,2022-04-20,Amsterdam,Staatssecretaris Van der Maat brengt een werkbezoek aan het Dienstencentrum Personeel en Logistiek. Hij maakt kennis met het ...,Werkbezoek,/actueel/agenda/2022/04/20/werkbezoek-dienstencentrum-personeel-en-logistiek
Gesprek met organisaties van Surinaamse ouderen,Carola Schouten,2022-04-20,Den Haag,,Gesprek,/actueel/agenda/2022/04/20/gesprek-met-organisaties-van-surinaamse-ouderen
Bewindspersonenoverleg ijkpunt bestaanszekerheid Caribisch Nederland,"Carola Schouten, Alexandra van Huffelen",2022-04-20,Via communicatietechnologie,,Gesprek,/actueel/agenda/2022/04/20/bewindspersonenoverleg-over-ijkpunt-en-bestaanszekerheid
Commissiedebat Dierenwelzijn (dieren buiten de landbouw),,2022-04-20,Tweede Kamer,,NA,/actueel/agenda/2022/04/20/commissiedebat-dierenwelzijn-dieren-buiten-de-landbouw
Bestuurlijk overleg met Bestuurscollege Bonaire,Alexandra van Huffelen,2022-04-20,via communicatietechnologie,"Staatssecretaris Van Huffelen heeft een periodiek overleg met het Bestuurscollege Bonaire over lopende zaken, zoals de ...",Bestuurlijk overleg,/actueel/agenda/2022/04/20/bestuurlijk-overleg-met-bestuurscollege-bonaire
Diner met de (voormalige) bewindspersonen van SZW,"Carola Schouten, Karien van Gennip,",2022-04-20,Den Haag,,Evenement,/actueel/agenda/2022/04/20/diner-szw
Regulier overleg Openbaar Ministerie,Dilan Yeşilgöz-Zegerius,2022-04-20,Den Haag,Regulier overleg tussen Yeşilgöz-Zegerius  en het Openbaar Ministerie.,Bestuurlijk overleg,/actueel/agenda/2022/04/20/regulier-overleg-openbaar-ministerie
Tweeminutendebat Online veiligheid en cybersecurity,Dilan Yeşilgöz-Zegerius,2022-04-20,Den Haag,Minister Yeşilgöz-Zegerius gaat in debat met de Tweede Kamer over de aanpak van verkeersveiligheid.,Kamervergadering,/actueel/agenda/2022/04/20/tweeminutendebat-online-veiligheid-en-cybersecurity
Eerste schop Twin Datacenter GrIT,Christophe van der Maat,2022-04-20,Stroe,Staatssecretaris Van der Maat is aanwezig bij de eerste schop in de grond voor het Twin Datacenter van het project ...,Evenement,/actueel/agenda/2022/04/20/eerste-schop-twin-datacenter-grit
Bestuurlijk overleg over arbeidsvoorwaarden in het PO en VO,,2022-04-20,Via communicatietechnologie,"Minister Wiersma heeft een bestuurlijk overleg over arbeidsvoorwaarden PO/VO met de PO-Raad, VO-Raad, AOb, FvOv, CNV en AVS.",NA,/actueel/agenda/2022/04/20/bestuurlijk-overleg-arbeidsvoorwaarden-po-en-vo
Werkbezoek Juridisch Loket,Franc Weerwind,2022-04-20,Utrecht,Minister Weerwind brengt een werkbezoek aan het Juridisch loket en ging in gesprek met medewerkers en cliënten.,Werkbezoek,/actueel/agenda/2022/04/20/werkbezoek-juridisch-loket
Minister Korpschef Overleg (MKCO),Dilan Yeşilgöz-Zegerius,2022-04-20,Den Haag,Minister Yeşilgöz-Zegerius is aanwezig bij het MKCO.,Bestuurlijk overleg,/actueel/agenda/2022/04/20/minister-korpschef-overleg-mkco
Werkbezoek Mildred Clinic,Ernst Kuipers,2022-04-20,Arnhem,Minister Kuipers bezoekt de abortuskliniek Mildred Clinic in Arnhem,Werkbezoek,/actueel/agenda/2022/04/20/werkbezoek-mildred-clinic
"Gesprek met de president van de Algemene Rekenkamer, dhr. Visser",Mark Rutte,2022-04-20,Den Haag,Hernieuwde kennismaking na het aantreden van het nieuwe kabinet.,Gesprek,/actueel/agenda/2022/04/20/gesprek-met-de-president-van-de-algemene-rekenkamer-dhr.-visser
